food_id,food_name_original,food_name_normalized,source,source_url,category_original,category_normalized,water_g,energy_kcal,protein_g,fat_g,carbohydrate_g,fiber_g,ash_g,calcium_mg,phosphorus_mg,iron_mg,sodium_mg,potassium_mg,copper_mg,zinc_mg,retinol_mcg,beta_carotene_mcg,carotene_total_mcg,vitamin_a_mcg,vitamin_b1_mg,vitamin_b2_mg,niacin_mg,vitamin_c_mg,edible_portion_percent,unit_basis,scraped_at,cleaned_at,missing_nutrient_count,completeness_score,notes
tkpi_0052,Bakwan,bakwan,TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,40.5,280.0,8.2,10.2,39.0,3.4,2.1,204.0,79.0,7.0,,,,,0.0,,0.0,,0.08,,,0.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,9,0.6087,Di Jawa Barat disebut bala-bala; di Jawa Timur disebut ote-ote. Berbahan dasar campuran tepung terigu dan sayuran yang diolah dengan cara di goreng
tkpi_0053,Bantal,bantal,TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,52.3,190.0,3.3,0.3,43.5,3.4,0.6,9.0,0.0,0.4,164.0,84.0,0.2,0.9,,,,,0.27,0.02,3.6,,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,6,0.7391,Jajanan dari ketan dan kacang tolo dibungkus daun kelapa diolah dengan cara dikukus. (Lontong ketan dan kacang)
tkpi_0054,Baruasa,baruasa,TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,5.3,417.0,6.5,8.2,79.3,,0.7,,,,,,,,,,,,,,,,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,17,0.2609,"Kue kering berbahan dasar tepung beras, gula pasir, telur, kelapa parut diolah dengan cara dipanggang"
tkpi_0055,Batar daan,batar daan,TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,75.3,107.0,2.2,2.2,19.6,,0.7,20.0,30.0,0.6,200.0,90.0,0.1,,,,,,0.18,0.02,,,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,9,0.6087,"Semacam bubur jagung yang dilengkapi dengan campuran daging, kacang tanah, sayuran, dan belimbing"
tkpi_0056,Bika ambon,bika ambon,TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,51.5,199.0,2.1,1.5,44.4,0.3,0.6,45.0,28.0,1.8,,,,,0.0,,408.0,,0.1,,0.0,0.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,8,0.6522,"Kue basah berbahan dasar tepung terigu, tepung tapioka, ragi, gula pasir, telur, santan diolah dengan cara dipanggang"
tkpi_0057,Bingka,bingka,TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,44.4,273.0,5.3,10.6,39.1,,0.6,,,,,,,,,,,,,,,,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,17,0.2609,"Seperti kue lumpur. Berbahan dasar tepung terigu, kentang, telur, santan, gula, garam"
tkpi_0058,Bobengka,bobengka,TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,46.3,225.0,5.3,2.6,45.2,,0.6,,,,,,,,,,,,,,,,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,17,0.2609,"Berbahan dasar tepung terigu, gula merah/gula kelapa,kenari yang diolah dengan cara dipanggang"
tkpi_0059,Bolu peca,bolu peca,TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,55.6,197.0,3.3,4.6,35.6,,0.9,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,10,0.5652,Berbahan dasar tepung terigu atau tepung ketan dengan gula merah yang diolah dengan cara dikukus
tkpi_0060,Brem,brem,TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,37.4,249.0,3.4,0.4,58.0,0.0,0.9,198.0,86.0,2.0,,,,,0.0,,240.0,,0.34,0.0,0.0,0.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,7,0.6957,Sari dari fermentasi ketan hitam atau ketan putih
tkpi_0061,Bubur tinotuan (Manado),bubur tinotuan (manado),TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,80.9,156.0,2.3,0.2,15.6,8.2,1.0,41.0,20.0,0.4,486.0,164.0,0.3,0.4,,1.437,,,0.1,0.04,,15.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,5,0.7826,"Bubur berisi beras, singkong, jagung, labu kuning, kangkung, daun gedi, daun leilem, daun kemangi."
